pais, ano, krause, valor, moeda, qualidade, material, diametro, detalhe, anverso, reverso, 
Brasil, 1990, C 222, 5000, CRUZEIRO, B, PAPEL, 139X64, A1425036719B, EFIGIE DA REPUBLICA, , 
Brasil, 1990, C 211, 100, CRUZADO NOVO, FE, PAPEL, 140X65MM, SERIE A8875089680A CARIMBADA DE 100 CRUZEIRO, CELICIA MEIRELES, CRIANCA LENDO, 25
Brasil, 1990, C 219, 5000, CRUZEIRO, MBC, PAPEL, 140X65MM, SERIE A4371069633A, ANTONIO CARLOS GOMES, PIANO, 
Brasil, 1990, C 216, 500, CRUZEIRO, MBC, PAPEL, 140X65MM, SERIE A0180027784A, AUGUSTO RUSCHI, RUSCHI EXAMINANDO ORQUIDEAS, 8
Brasil, 1991, C 223, 10000, CRUZEIRO, B, PAPEL, 139X64, A2505018081A, VITAL BRASIL, COBRA, 
Brasil, 1991, C 218, 1000, CRUZEIRO, MBC, PAPEL, 140X65, SERIE A7023066784A, CANDIDO RONDON, INDIO CARAJA, 
Brasil, 1992, C 220, 5000, CRUZEIRO, MB, PAPEL, 142X65, A4524066305A, CARLOS GOMES, PIANO DO MAESTRO, 
Brasil, 1992, C 224, 10000, CRUZEIRO, B, PAPEL, 139X64, SERIE A3439036168A, VITAL BRASIL, , 
Brasil, 1992, C 226, 50000, CRUZEIRO, B, PAPEL, 139X63, A4983051289A, CAMARA CASCUDO, BUMBA MEU BOI, 
Brasil, 1992, C 227, 100000, CRUZEIRO, MB, PAPEL, 139X64, A1519094558A, BEIJA FLOR, CATARATAS DO IGUACU, 
Brasil, 1993, C 221, 5000, CRUZEIRO, FE, PAPEL, 142X65, A5633096755A, CARLOS GOMES, , 
Brasil, 1993, C 225, 10000, CRUZEIRO, B, PAPEL, 139X64, A7199023581A, VITAL BRASIL, COBRA, 
Brasil, 1993, C 236, 500, CRUZEIRO REAL, MB, PAPEL, 139X64, A8977096039A, MARIO DE ANDRADE, , 
Brasil, 1993, C 237, 500, CRUZEIRO REAL, B, PAPEL, 139X64, B0772079470A CARIMBADA EM 500000 CRUZEIRO, MARIO DE ANDRADE, , 
Brasil, 1993, C 238, 1000, CRUZEIRO REAL, B, PAPEL, 139X64, A1965029550A, ANISIO TEIXEIRA, , 
Brasil, 1993, C 234, 50000, CRUZEIRO, FE, PAPEL, 140X65MM, A6451060099A CARIMBADA 50 CRUZEIRO REAL, CAMARA CASCUDO, BUMBA MEU BOI, 
Brasil, 1993, C 230, 100000, CRUZEIRO, MBC, PAPEL, 140X65, SERIE A6449075611A, BEIJA FLOR, CATARATAS DO IGUACU, 
Brasil, 1993, C 231, 500000, CRUZEIRO, MBC, PAPEL, 140X65MM, SERIE A1909076574A, MARIO ANDRADE, CONVERSANDO COM CRIANCAS, 
Brasil, 1993, C 233, 500000, CRUZEIRO, MBC, PAPEL, 140X65MM, SERIE A5559007985A, MARIO ANDRADE, CONSERTANDO COM CRIANCAS, 
Brasil, 1993, C 235, 100000, CRUZEIRO, BC, PAPEL, 140X65MM, SERIE A6881034092A CARIMBADA PARA 100 REAIS, BEIJA FLOR, CATARATAS DO IGUACU, 
Brasil, 1993, C 239, 5000, CRUZEIRO REAL, MBC, PAPEL, 140X65MM, SERIE A1184061156A, O GAUCHO, RODEIO, 
Brasil, 1994, C 250, 1, REAL, B, PAPEL, 140X65MM, SERIE A1910019913A, EFIGIE DA REPUBLICA, BEIJA FLOR, 
Brasil, 1994, ENSAIO, 10000, CRUZEIRO REAL, REPLICA, PAPEL, , SERIE P0000000000P REPLICA DE ENSAIO, RENDEIRA, , 
Brasil, 1999, C 251, 1, REAL, B, PAPEL, 139X64, SERIE B4700013705B, , BEIJA FLOR, 
Brasil, 2003, C 254, 1, REAL, UTG, PAPEL, 138X63, A0597014251C, EFIGIE DA REPUBLICA, BEIJA FLOR, 
Brasil, 2003, C 254, 1, REAL, MBC, PAPEL, 140X65MM, SERIE A0396012028C, EFIGIE DA REPUBLICA, BEIJA FLOR, 
Brasil, 2003, C 254, 1, REAL, UTG, PAPEL, 140X65MM, SERIE A3108082604C RISCADA NO VERSO, BEIJA FLOR, , 
Brasil, 2009, C 262, 2, REAL, B, PAPEL, 140x65, D8278038489A, EFIGIE DA REPUBLICA, TARTARUGA, 
Brasil, 2013, C 335, 5, REAL, MBC, PAPEL, 128X65MM, AH043389086, EFIGIE DA REPUBLICA, GARCA, 
Brasil, 2014, C 333, 2, REAL, FE, PAPEL, 121X65, AA046713516, EFIGIE DA REPUBLICA, TARTARUGA, 
Brasil, 2015, C 343, 2, REAL, REPOR, PAPEL, 121X65, CH149338759, EFIGIE DA REPUBLICA, TARTARUGA, 
Brasil, 2016, C 344, 2, REAL, B, PAPEL, 121X65, DF091048032, EFIGIE DA REPUBLICA, TARTARUGA, 
Brasil, 2017, C 34., 2, REAL, FE, PAPEL, 121X65, EG031751031, EFIGIE DA REPUBLICA, TARTARUGA, 
Brasil, 2017, , 2, REAL, B, PAPEL, 121X65, EA000989631, EFIGIE DA REPUBLICA, TARTARUGA, 
